-9.0045|0.0,-20.1506875|1.8856875,-19.0171875|1.6921875,-19.822375|1.6730625,-17.1814375|1.55775,-59.9321875|29.3975625,-47.4648125|21.0176875,-60.907125|29.624125,-60.654625|29.7076875,-60.483375|29.3929375,-60.2395|32.8296875,-48.645|24.23125,-61.902625|33.0919375,-61.005125|32.5990625,-61.9144375|33.349125,-63.30175|34.83225,-63.424375|35.5181875,-62.5641875|34.8291875,-62.48|34.6715625,-62.2929375|34.3865625,-67.761625|36.4119375,-69.889375|36.39225,-69.558625|36.3169375,-69.2114375|36.5779375,-69.4645|36.36225,
-20.9415|1.86775,-10.005|0.0,-34.695875|2.0686875,-34.969|1.825625,-31.9979375|1.8351875,-67.510125|31.75,-65.4671875|31.8456875,-67.4705|31.917125,-67.0763125|31.5085625,-67.4625625|31.4364375,-70.081375|35.4906875,-68.203375|36.007375,-70.0899375|35.7603125,-69.8995|35.48,-70.06|35.8660625,-65.183|35.9499375,-65.711125|35.93525,-65.0711875|35.509,-65.7926875|35.4476875,-64.0964375|35.5201875,-55.5360625|28.42075,-68.5651875|37.336125,-68.4855|37.4903125,-68.356875|37.5335,-68.326125|37.2841875,
-37.4576875|2.363,-37.5189375|2.3815625,-8.004|0.0,-33.24775|2.558,-32.3626875|2.4441875,-67.0734375|31.4143125,-64.8351875|31.1870625,-68.40575|31.3618125,-68.977875|31.6174375,-68.9508125|31.6320625,-69.6930625|35.266375,-67.487375|35.3165625,-70.714625|34.8258125,-70.929125|35.032,-70.7934375|35.0423125,-60.5075|34.9359375,-59.7635625|34.8728125,-59.994625|34.945625,-60.8765|35.238625,-57.7194375|33.6740625,-69.575875|37.1685625,-71.9235|36.99875,-71.6115625|36.785875,-71.6116875|36.9505,-72.1940625|36.9863125,
-36.7325625|2.4165625,-36.524125|2.4138125,-34.7568125|2.2221875,-10.005|0.0,-32.0689375|2.25275,-67.6585625|30.9899375,-65.3298125|31.0298125,-68.4041875|30.9285625,-68.602625|30.7089375,-68.3748125|30.998875,-69.71075|34.79175,-67.4839375|35.1040625,-71.1933125|34.5410625,-71.8106875|34.95675,-71.6245|35.281125,-65.124|34.636375,-65.797125|35.0699375,-66.0434375|35.2631875,-65.390875|35.0191875,-64.853625|34.79325,-69.4301875|36.5001875,-72.2441875|36.5634375,-71.7753125|36.4395625,-71.2115625|36.604,-71.4244375|36.3611875,
-34.7194375|3.4669375,-34.8419375|3.563875,-33.6935625|3.6635625,-33.9135|3.6655,-7.0035|0.0,-67.592625|31.2700625,-65.601125|31.1515625,-68.9258125|31.51025,-68.3656875|31.4240625,-68.7218125|31.19625,-70.02875|35.1493125,-67.78375|35.4768125,-72.495375|35.59475,-71.176625|35.341625,-71.6325|35.454875,-65.40175|35.145625,-65.942875|34.763,-65.8418125|35.4045,-65.855125|35.198375,-65.258875|35.080125,-69.530375|36.86675,-73.0403125|37.2193125,-72.1826875|37.2230625,-71.4649375|36.6783125,-71.757375|36.7205,
-63.1148125|29.1741875,-63.725|29.1286875,-64.108875|29.3371875,-64.3499375|29.4364375,-63.544|28.5478125,-11.0055|0.0,-28.57475|3.337875,-21.4986875|2.1914375,-27.8539375|3.1785625,-23.01275|2.75725,-69.5895|35.15275,-69.39325|35.948125,-70.0268125|35.4066875,-69.958|35.2705625,-69.980375|35.0930625,-64.5575|35.3956875,-64.9490625|35.73075,-64.3460625|35.0096875,-64.6000625|35.4923125,-64.988|35.6213125,-72.50525|37.4298125,-72.0378125|37.26225,-72.211375|37.06325,-71.841|37.1633125,-72.8155625|37.2189375,
-56.6755|27.880625,-56.8016875|27.753,-56.83275|27.59525,-57.6371875|28.1246875,-57.3665625|28.1399375,-22.863875|2.5691875,-10.005|0.0,-31.7990625|2.4346875,-37.4378125|2.8666875,-33.7756875|2.4501875,-68.558|35.0505625,-67.637|35.1814375,-69.7183125|35.2366875,-69.4160625|35.4163125,-70.102875|35.25125,-64.505125|34.7836875,-63.5276875|35.2569375,-62.8325625|34.8290625,-64.2076875|34.7726875,-64.799875|34.861375,-63.424625|34.7339375,-63.330875|34.7646875,-63.364875|34.76625,-60.601625|33.3170625,-63.0200625|34.814125,
-63.1759375|28.839625,-63.869875|28.732,-64.315375|28.957125,-64.051125|29.0984375,-63.927875|28.510125,-37.031875|3.6849375,-37.850625|3.437625,-8.004|0.0,-39.815125|3.791375,-36.914625|3.615,-69.807375|35.1118125,-68.55575|35.0695625,-71.286125|35.373,-70.8273125|35.194375,-70.705375|35.066625,-66.112625|35.1616875,-65.0409375|35.1081875,-63.95825|35.2271875,-65.104375|34.5545625,-66.0236875|35.010125,-73.3726875|37.1214375,-72.8695|36.9096875,-73.4185|36.7643125,-71.9549375|36.75425,-72.223|36.7070625,
-60.7356875|27.949625,-60.56125|27.3945625,-61.15775|27.6785,-61.652125|27.933,-62.221125|28.3133125,-34.9076875|2.2505625,-36.597375|2.3913125,-32.60675|2.11375,-9.0045|0.0,-34.4126875|2.3268125,-65.081875|35.1259375,-54.2741875|26.8871875,-66.4650625|35.4746875,-65.80125|34.747625,-66.954875|36.0198125,-61.16075|35.32225,-60.7371875|35.7356875,-59.439|34.3589375,-60.36875|35.2076875,-61.8465625|35.4635,-72.3324375|36.8695,-71.7131875|36.427,-71.818875|36.631,-70.589625|36.681,-71.235|36.4521875,
-62.411875|28.120875,-63.4195|28.36675,-63.1853125|28.554,-63.7463125|28.510375,-63.4834375|28.23425,-36.485625|3.077,-37.4480625|3.245,-36.5564375|3.327375,-37.9669375|3.23525,-10.005|0.0,-69.299125|34.716375,-68.4325|35.217625,-70.7160625|34.312,-70.9829375|34.865625,-70.1524375|34.721375,-65.9101875|34.697,-64.4910625|34.453375,-63.5289375|34.54125,-64.599375|34.623625,-66.440625|34.73325,-73.355625|36.40425,-73.0198125|36.201125,-72.6585625|35.895375,-71.819|36.36675,-73.247375|36.129125,
