-9.009|0.0,-18.814125|2.793,-19.904125|3.031375,-20.943625|3.252625,-51.70725|30.14675,-51.076875|30.449375,-52.579375|30.499625,-51.93775|30.165125,-48.445375|24.66525,-48.51025|24.6635,-48.133125|24.55325,-47.756375|24.51175,-46.457875|19.476875,-46.58725|19.8235,-45.31|19.478375,-46.493125|19.850375,
-18.71425|2.5805,-11.011|0.0,-31.689875|3.266625,-33.6335|3.495625,-52.72825|29.591,-50.883875|29.67275,-53.57775|29.894875,-53.152625|29.5745,-49.5995|23.98525,-49.70625|24.364,-49.91175|24.04925,-48.046|24.35975,-47.463|19.616875,-47.397125|19.558625,-45.626875|19.141,-47.31025|19.5665,
-29.605125|3.512875,-29.772125|3.61425,-12.012|0.0,-34.5665|4.472375,-51.247375|29.57775,-49.975375|29.541,-51.789875|29.165125,-51.662375|29.4265,-49.174625|24.234375,-49.21125|24.515,-49.23325|24.23925,-47.426|24.5555,-41.9995|17.764,-42.09425|17.884,-30.289625|10.948875,-41.90725|17.7875,
-32.15025|3.21625,-32.305|3.331,-34.03275|3.4885,-12.012|0.0,-49.02525|29.806125,-34.957125|19.973625,-49.172875|30.04975,-49.056|30.101375,-46.17825|24.70475,-46.837375|25.004375,-46.135875|24.575125,-33.198875|16.119875,-47.442|19.391625,-46.93325|19.445,-45.626625|19.846125,-47.3065|19.639625,
-54.04825|28.069875,-54.094125|27.993,-53.98|28.08525,-53.641375|28.151,-11.011|0.0,-23.051125|3.982875,-20.639|4.621875,-18.639625|3.88025,-48.16275|24.811125,-48.645625|24.989625,-48.647875|24.517625,-48.222625|24.671375,-46.816125|19.702125,-46.457875|19.58375,-46.587875|19.8155,-46.735125|19.864875,
-50.352125|27.030125,-50.398125|27.010375,-50.058125|26.943375,-48.967|26.93275,-18.73325|3.974125,-11.011|0.0,-29.7835|4.8185,-27.45625|4.74775,-47.696875|24.619125,-48.615875|24.6105,-49.1005|24.472625,-49.425625|24.831,-47.45725|19.4095,-47.292375|19.665375,-45.596625|19.368375,-46.944125|19.472,
-52.492125|26.595875,-53.0425|27.173375,-52.93725|26.970875,-52.33|27.232875,-29.524625|4.7785,-30.251125|4.67625,-10.01|0.0,-31.297375|4.8705,-32.404875|15.865875,-43.400375|23.165875,-42.95225|22.79225,-43.157|22.741375,-43.18375|18.47125,-43.51275|18.60975,-32.061125|11.619,-43.204875|18.643875,
-54.49025|27.964,-56.08275|27.8805,-55.267125|27.61575,-54.110625|27.68375,-33.817375|5.75,-35.468625|5.929,-33.20925|5.5455,-10.01|0.0,-48.672|25.138,-48.86925|24.3455,-49.445875|24.4815,-49.707875|24.542,-47.538625|19.488,-47.097875|19.091,-46.362875|19.65625,-47.8455|19.505,
-53.8995|28.7915,-53.18525|28.3285,-53.56475|28.39875,-52.9115|28.368,-47.90675|29.8845,-48.01825|29.96425,-46.82725|30.08875,-48.06|30.015,-9.009|0.0,-18.141375|2.752375,-17.033|2.39675,-19.4|2.51025,-43.9575|19.62225,-44.63025|19.9135,-44.4725|19.81725,-32.086|12.4105,
-55.67175|28.364125,-55.480875|28.278125,-54.802125|27.917875,-53.32775|28.18425,-51.948125|30.2495,-51.920375|30.668875,-51.845625|30.768875,-52.378625|30.728625,-22.296375|3.747375,-11.011|0.0,-27.516375|3.054875,-29.73075|3.27775,-47.1635|19.894125,-47.309125|20.011375,-46.81925|19.9945,-46.087|20.00925,
-55.5015|28.2375,-55.863375|28.33875,-55.524875|28.064,-54.332|27.654375,-52.9495|30.513,-53.0065|30.6865,-52.392|30.374875,-53.609125|30.825875,-31.889875|4.70375,-30.267|4.60275,-10.01|0.0,-32.912|4.81375,-47.715875|19.449375,-47.943125|19.997125,-47.56725|19.88275,-45.774375|19.692125,
-52.796|28.482,-53.179625|28.78625,-52.413625|28.359,-51.3955|28.67175,-53.37075|30.15075,-52.83825|30.446,-51.6835|30.554,-52.784375|30.2725,-31.123125|4.17225,-30.842875|4.22975,-30.78525|3.5925,-8.008|0.0,-47.65075|19.959,-47.693125|20.15375,-47.927125|20.261,-45.46025|19.68225,
-54.7105|29.42825,-55.07275|28.915,-54.68375|29.402,-54.4355|29.09475,-52.382|31.26975,-52.541|31.255,-51.66075|31.20625,-52.27025|31.4805,-48.325|25.70575,-48.9605|25.5485,-48.47625|25.621,-48.79525|25.8045,-9.009|0.0,-19.351|2.87275,-24.071|4.1025,-20.41125|3.1385,
-55.44025|28.84975,-54.70475|28.73425,-54.751|28.97325,-55.19325|28.5215,-52.96575|30.72675,-53.5075|30.996,-51.721|30.9155,-52.95725|31.04275,-48.23975|25.19825,-49.7375|25.69125,-48.85|25.32175,-50.043|25.81725,-18.8205|3.03075,-11.011|0.0,-30.687|4.17175,-27.10725|3.28925,
-52.77175|28.8825,-52.75775|29.05625,-51.88325|29.37775,-52.89975|29.03025,-50.3475|31.68975,-50.7785|31.733,-49.288|31.47975,-50.3945|31.68775,-48.01675|25.45375,-48.368|25.0715,-48.526|25.3425,-48.784|25.22775,-25.44025|2.7415,-25.873|2.8665,-8.008|0.0,-28.1825|2.967,
-55.76325|28.988,-55.28275|28.8925,-54.04725|28.8615,-55.60875|28.816,-52.99175|31.163,-53.70825|31.28475,-51.38475|30.71925,-52.845|30.9405,-45.72425|25.29475,-46.9895|25.68575,-46.69675|25.35525,-47.23375|25.60075,-30.6165|4.00125,-30.34575|3.77025,-30.4575|4.2445,-8.008|0.0,
