-11.011|0.0,-28.181625|3.008125,-28.1185|2.22175,-28.32325|2.265875,-26.31375|2.3075,-26.970625|2.24075,-93.4165|50.845125,-95.725375|51.0615,-93.682875|50.236375,-95.019875|50.343,-95.186875|49.86125,-93.6575|48.601375,-94.13675|43.0865,-92.657375|42.774,-93.937125|43.632625,-94.98475|43.494,-92.360125|43.00275,-93.004125|43.07175,-88.04875|41.556875,-89.593625|42.47675,-90.451|42.39425,-89.090625|41.31225,-89.611875|41.351375,-90.6315|41.7805,-95.484625|45.72175,-95.71775|45.534,-96.695|46.5695,-92.879|46.678125,-97.06875|46.41225,-95.23075|45.672875,-90.515375|45.586125,-90.14625|44.859,-90.897125|46.100125,-89.587375|45.750125,-89.4415|45.37275,-91.2205|46.047875,
-23.2035|1.929,-10.01|0.0,-38.846625|1.991875,-35.162|1.836,-34.077375|1.802125,-34.972|1.924125,-69.093|37.357,-81.529125|47.4045,-81.395|47.698125,-80.93725|47.488125,-80.2555|47.1385,-81.485125|47.18125,-89.054|42.359625,-91.2355|42.981875,-90.256625|42.33825,-89.52075|42.302125,-90.852625|43.10075,-91.30875|42.978,-64.04025|29.05975,-75.002|37.225125,-76.424875|37.78375,-74.865625|37.43375,-74.923375|37.079,-75.93175|37.844875,-91.3665|44.36025,-92.925125|45.57375,-94.489375|45.2955,-87.28625|44.367625,-91.835375|45.2035,-92.343|45.091625,-80.36075|43.698625,-78.932375|43.66,-79.367125|43.379375,-81.153375|44.137875,-80.29025|43.7025,-75.919625|40.1355,
-44.367|2.141,-42.698125|2.432,-8.008|0.0,-40.921625|2.211125,-40.430875|2.225375,-40.688625|2.28825,-88.2275|49.206375,-93.517|50.090875,-92.43325|50.387,-91.612125|49.35,-91.737875|49.216125,-91.889125|49.170125,-77.395625|36.393625,-83.207125|40.855,-80.851|39.3555,-82.532375|40.376375,-81.723875|40.770125,-81.34125|40.9805,-85.24575|41.49125,-87.511125|41.086125,-87.22775|40.920875,-87.163125|41.082875,-87.047875|41.048125,-88.037|41.12075,-88.58525|45.61925,-88.347|45.20325,-88.46425|45.464,-71.4955|33.855875,-87.84025|45.011125,-89.330875|45.9995,-88.3395|45.389625,-89.31525|46.237,-90.070625|46.338,-88.078625|44.903625,-88.843125|45.526,-87.961125|44.303375,
-47.954|2.857125,-45.85525|2.7015,-47.645125|3.05875,-10.01|0.0,-40.94475|2.7315,-41.09875|2.846125,-91.28825|49.622,-93.1305|48.695125,-96.10175|50.762125,-94.788375|49.55175,-93.476625|49.411,-93.5955|49.206625,-94.30875|43.088125,-94.28075|43.32575,-94.065375|42.82975,-93.539375|42.532125,-95.25375|43.629,-92.858625|42.65925,-86.53675|41.174125,-88.340375|40.27725,-90.925625|41.9965,-88.893|40.593125,-90.320875|41.246625,-89.361|40.89875,-97.874375|45.748375,-98.3635|45.79275,-96.405|46.181,-91.547625|45.16075,-94.666125|45.461125,-95.54775|45.071,-87.929|43.6635,-88.9525|43.98225,-90.518375|44.406375,-90.76175|44.751,-90.8115|45.163125,-91.917875|44.50325,
-43.0245|3.0675,-42.907375|3.3435,-43.546|3.011875,-41.310625|3.345875,-8.008|0.0,-36.369125|2.855875,-91.822|49.811,-93.6455|48.964625,-93.718875|49.50525,-93.510375|49.5885,-92.791625|49.415,-92.987625|49.514,-94.458|43.097875,-94.702875|42.326625,-93.867375|42.339,-93.49925|41.94975,-93.259|42.03675,-93.5905|42.31275,-85.095|40.854875,-88.349125|40.181875,-88.159375|39.634,-89.792625|41.155875,-88.411125|40.396,-89.800125|40.925875,-97.59625|46.0895,-94.718125|43.5195,-96.483125|45.26125,-91.087|44.88225,-94.637625|45.35475,-95.564125|45.5175,-91.01425|45.776125,-90.5515|44.744875,-91.134125|44.987125,-89.596875|43.69675,-90.313875|45.061375,-90.6705|44.7245,
-39.877375|3.431125,-40.30025|2.7545,-40.333625|3.498625,-38.027625|2.836125,-35.952|3.2315,-9.009|0.0,-89.409375|49.461875,-93.781125|48.8865,-93.136|49.546,-93.503375|49.311625,-92.778|48.91275,-93.25675|49.745625,-93.775625|42.94225,-92.661375|41.466375,-94.37225|42.4035,-92.459375|42.11,-92.172125|42.346625,-93.712|43.143,-85.7655|41.253625,-88.30225|40.63925,-88.456375|40.42575,-88.65175|40.34375,-88.353|40.38775,-88.982|40.887625,-96.9245|44.93,-95.92025|46.41575,-94.719|44.72125,-89.5595|44.469,-94.5545|45.20875,-94.7755|45.60525,-88.705875|44.704875,-90.2295|44.200875,-89.971125|44.5405,-89.728375|45.22725,-89.4985|43.99825,-90.440375|44.1595,
-82.6685|41.185375,-84.172875|42.2845,-85.381|41.972,-84.069375|41.362875,-84.236625|41.60475,-85.4205|42.060375,-9.009|0.0,-26.72875|1.884875,-24.99375|1.710375,-26.382375|2.080875,-27.328625|2.043,-25.081|1.54775,-90.569625|42.2175,-93.2935|43.047125,-91.376125|42.232,-91.223875|42.3095,-92.0245|42.666375,-90.430875|42.051625,-79.04225|39.41925,-79.743625|40.14475,-81.574125|40.5225,-79.1275|39.585,-80.024125|40.33575,-80.359|39.92675,-94.433|45.294125,-93.884875|45.50375,-95.207375|45.642375,-92.15925|44.98025,-94.8105|46.098625,-94.892375|46.030875,-80.908|43.936,-85.532125|45.718125,-84.14475|45.326375,-84.484|46.006625,-85.689625|46.16425,-84.5445|45.96375,
-87.901|39.87375,-87.24825|39.42825,-89.924625|40.48725,-89.5285|39.787875,-88.589375|39.437875,-89.196125|39.79425,-42.33975|3.034125,-10.01|0.0,-54.676|2.8125,-56.397|3.0475,-58.0665|2.988625,-53.918875|2.57725,-93.333875|41.21775,-92.76275|40.3075,-92.79675|41.134875,-92.676125|41.0945,-93.932125|41.443625,-94.489625|41.376625,-87.593875|38.943875,-88.7365|39.80125,-89.47275|40.13275,-88.23325|39.83375,-87.92275|40.409625,-88.30225|40.482125,-96.55425|44.185875,-97.56975|44.609,-96.9175|44.712375,-95.82075|44.0415,-95.93525|44.64675,-96.93875|44.542875,-87.80975|43.486875,-89.598375|43.4715,-89.74125|44.709125,-88.534125|43.71875,-88.206375|42.64375,-89.39225|44.112875,
-88.322375|39.985625,-86.433125|39.243125,-89.33925|39.3125,-89.354625|38.905625,-88.93575|39.37525,-89.690375|38.50925,-52.937875|2.350375,-49.008|2.418,-10.01|0.0,-51.4985|2.586,-51.812|2.101875,-48.891125|2.073125,-93.1675|41.460125,-93.251375|41.108375,-92.673375|40.969125,-92.51525|41.173375,-93.262125|40.94825,-94.605125|42.084875,-88.5435|39.64525,-87.79575|38.51525,-88.585125|40.428125,-87.86375|40.14525,-87.8905|40.053625,-87.841625|38.905,-94.577|43.68525,-95.811125|43.743,-96.6555|43.164,-95.22225|44.132625,-95.82125|44.073875,-96.681375|44.44275,-88.479625|43.534875,-88.817|44.312125,-89.728875|43.240875,-89.037625|43.08375,-88.697125|42.775,-87.26875|42.98875,
-86.87275|40.526125,-84.482625|40.043625,-90.1955|40.026375,-87.225375|39.627125,-88.011125|39.419375,-88.336375|39.252625,-52.276625|1.999375,-46.8385|2.2025,-47.857125|2.488875,-11.011|0.0,-46.754375|2.750625,-42.04475|2.36675,-92.579125|41.57975,-91.008625|40.77575,-92.863|42.165625,-91.29375|40.647375,-93.986375|42.489875,-92.277375|41.27275,-86.58925|39.4315,-85.963125|39.72475,-88.9675|40.262,-87.20275|39.913125,-86.734875|39.9675,-87.727125|39.957,-91.8165|46.21425,-91.851|45.14,-85.318125|40.6245,-90.929875|45.35525,-92.4525|45.49125,-92.5625|46.402,-86.74975|43.485375,-87.78875|43.536125,-88.62875|44.257875,-89.46625|44.063125,-89.61375|43.79075,-87.27675|43.492625,
