-8.008|0.0,-40.5505|0.935875,-44.858375|1.139625,-39.9855|1.139125,-40.767|1.05375,-39.671625|1.26175,-44.319375|0.972875,-44.45775|0.9355,-170.17925|82.926875,-167.129375|79.34075,-166.177375|82.289375,-167.76975|80.4485,-169.35525|80.54575,-169.259125|80.75375,-170.99425|80.78525,-169.671125|80.489875,-173.23025|83.54525,-172.019375|85.971875,-170.142625|85.4045,-170.558125|83.149125,-169.311875|85.1965,-171.95175|83.40525,-168.38625|82.5165,-174.967875|86.445125,-147.466375|76.79675,-148.374125|77.174875,-148.9245|78.075625,-130.69825|66.80325,-147.803|78.663125,-147.214125|76.968,-147.998375|76.306125,-148.087375|77.227375,-160.926875|82.347375,-158.858625|80.709375,-163.3655|82.793625,-159.428|80.504375,-161.129125|80.57775,-151.723|71.876125,-161.322|82.019375,-158.356625|80.16125,-160.404125|80.166875,-164.05175|79.929625,-164.347|80.55325,-163.885625|79.08725,-161.23525|78.168625,-163.0095|79.253375,-164.09725|80.098875,-162.15075|79.487625,-160.602125|72.980625,-155.5125|73.526375,-157.401125|73.87125,-157.79825|75.363625,-155.889625|74.18875,-155.95675|76.348,-157.902125|73.570125,-157.698625|74.90175,-157.60125|72.443375,-157.662|71.630625,-159.1645|71.9725,-160.684625|72.88175,-159.4105|72.9565,-159.603375|72.357125,-158.367|72.039375,-157.724625|71.640875,
-43.5585|1.290625,-9.009|0.0,-85.44675|1.196625,-91.37425|1.188625,-101.44725|1.028875,-105.59875|1.80975,-99.801625|1.374375,-105.29775|1.736875,-173.39225|78.821625,-172.386|78.968,-166.34875|77.1,-176.5595|81.756125,-172.531125|77.702,-176.514875|78.89425,-175.396125|80.1975,-174.906875|78.6575,-176.481375|82.64525,-174.524375|82.397,-174.826125|82.6965,-171.922|82.60775,-168.859625|84.126375,-172.705625|84.497,-171.55425|83.485625,-170.65025|83.228375,-158.552375|73.998875,-159.908625|75.31275,-160.38725|76.460875,-155.2055|75.75525,-160.875375|76.552875,-164.59025|77.638,-163.382875|76.7685,-162.5325|75.239,-164.74075|74.384625,-168.2025|76.54425,-166.687625|75.61325,-165.474875|75.981,-169.148|76.969875,-168.14625|76.638875,-167.234|75.538375,-169.80975|77.439125,-159.554625|78.93675,-164.192625|78.37575,-162.075125|77.2015,-163.85525|77.204375,-161.769875|77.734,-163.044875|77.428,-163.907625|78.41375,-166.292375|79.704875,-159.270625|71.52325,-157.00975|73.104125,-154.812375|72.05775,-159.67075|73.170625,-157.658875|72.124375,-157.2735|72.213375,-158.643375|72.180125,-160.0995|75.693375,-159.002375|70.696625,-158.066625|70.631875,-164.5665|72.1455,-165.405375|70.5405,-162.922125|69.39225,-166.7765|71.256625,-165.1205|70.95225,-161.450625|68.46925,
-81.0275|2.279125,-87.078|2.2515,-13.013|0.0,-84.887625|2.15575,-89.25125|1.925375,-90.649|2.003625,-94.963375|2.19025,-98.808375|2.276,-174.477125|77.86375,-172.734125|78.213125,-161.370375|77.24475,-171.482125|79.145875,-172.73325|78.6885,-173.38225|78.993,-174.22375|80.261375,-173.602125|80.02325,-173.925125|83.46325,-172.333|83.2855,-170.19025|83.25225,-174.109125|84.728625,-167.29575|83.103625,-169.42825|83.41875,-171.664875|84.889125,-170.892875|83.6125,-161.1945|77.091125,-161.585|76.040875,-158.158875|76.036875,-155.33025|75.916625,-163.163375|77.5695,-159.96975|75.89975,-161.4035|74.776,-161.735875|76.614875,-168.24275|78.805125,-168.854375|76.372,-166.440125|77.35125,-169.006875|77.521875,-165.8775|76.549,-167.510375|75.184125,-163.079875|74.762875,-165.762|76.9515,-161.097125|79.683,-163.01575|77.794875,-161.150625|78.577625,-159.518625|78.62275,-163.17525|78.2575,-160.209375|77.265,-161.3535|78.261875,-160.78675|76.818875,-161.126125|73.547375,-158.280625|72.668375,-160.756875|74.39625,-156.0365|72.14225,-154.016125|73.166875,-153.837875|72.376625,-157.687125|73.28325,-156.799375|73.218125,-159.205375|71.93825,-156.84125|70.96325,-161.021625|69.49675,-163.264625|70.808875,-161.694375|72.35325,-162.265375|71.474875,-163.703|69.956875,-165.4325|71.86025,
-79.2025|1.023,-82.146625|1.2435,-85.090875|1.2355,-10.01|0.0,-81.715125|1.279,-79.288375|1.1975,-81.0755|0.90025,-79.88625|1.115,-169.8735|79.83975,-169.552875|78.651125,-162.9305|82.301125,-166.129875|77.097125,-169.114375|78.984,-171.289|79.73975,-169.8475|79.175625,-167.032875|78.673625,-169.21125|83.80175,-170.23275|82.770375,-173.971|86.550125,-168.803375|82.294,-163.2855|83.268,-166.519|83.826625,-166.733875|84.2025,-165.396375|81.902875,-156.153125|74.5745,-160.370875|77.628375,-157.512125|75.278,-149.668125|75.180875,-158.07275|75.37375,-158.858875|75.45375,-159.371|77.033875,-160.953625|75.288125,-165.913125|77.74975,-162.546|76.80175,-164.782375|75.138125,-162.210125|75.253,-164.41625|76.7955,-165.078625|76.5315,-164.281|78.100125,-164.087375|76.78,-155.83175|78.654125,-158.56825|79.271375,-155.19025|77.491375,-157.262125|78.05325,-162.61575|81.06425,-156.219|78.42275,-155.49575|77.3935,-159.512125|78.325875,-144.56225|69.634375,-146.313375|74.155,-146.76275|72.671,-145.504625|71.830125,-145.562875|72.363125,-148.43275|74.344875,-146.408625|73.20525,-147.051375|73.86425,-154.6575|71.124,-152.905625|70.730625,-158.76125|71.079125,-158.68475|70.702,-158.40525|70.58775,-158.232875|70.663625,-160.229875|71.10775,-158.702625|70.046625,
-68.1465|1.199125,-73.039875|1.407375,-72.574625|0.967,-74.84025|1.3565,-11.011|0.0,-67.249625|1.312,-63.461625|1.757125,-61.791|1.1765,-170.623375|82.429,-168.78575|80.3665,-161.932875|81.179625,-169.00475|79.5605,-165.940625|78.659875,-168.830375|81.4165,-165.705875|77.82575,-172.42625|81.0865,-167.912125|83.93025,-170.10375|82.489625,-166.75675|83.061,-169.56975|83.766375,-162.6055|83.322,-168.6015|85.6885,-164.858|81.100625,-169.473875|83.348625,-159.536125|76.425875,-159.0565|78.160625,-157.40025|77.0285,-149.22975|75.982375,-158.44975|76.6375,-155.17275|76.760875,-153.9285|73.976375,-158.852125|77.251,-162.10925|78.04575,-162.60475|76.5285,-162.614|76.33725,-160.982875|74.98425,-160.28525|75.002625,-163.7705|75.98875,-160.714875|76.947,-162.037375|76.677625,-141.49375|69.742625,-158.20525|81.780875,-152.62675|80.240875,-154.917875|79.2505,-157.567|80.91925,-157.31775|82.49925,-155.626125|80.710875,-155.571375|80.69425,-158.52775|74.034875,-151.228875|71.82125,-153.57025|73.305875,-152.929875|72.98125,-152.90125|73.668125,-152.714125|72.71025,-158.03325|75.762125,-154.4085|74.281375,-156.151875|71.830375,-153.5985|70.828875,-160.6945|72.306,-157.161|68.98925,-158.65075|70.78825,-161.2525|73.0045,-159.053375|72.004,-160.500625|73.338125,
-55.025625|1.057625,-58.686125|1.20725,-60.684125|0.855125,-58.345375|0.897125,-65.294625|1.079875,-12.012|0.0,-51.083|1.34475,-50.977|1.18975,-168.408875|81.428,-167.90575|82.495875,-156.9995|80.432625,-162.12225|78.192875,-167.29325|80.43975,-165.376375|79.509625,-164.80125|78.572125,-166.423875|81.117,-155.79775|82.965,-157.734375|84.24975,-156.46475|84.013,-157.797|84.0355,-152.431|80.558,-158.308375|84.21225,-155.105875|83.66825,-154.9455|82.9345,-156.164625|74.72,-153.872375|76.399375,-151.305|74.09425,-146.08025|75.950625,-154.824375|76.275125,-155.789375|77.046875,-155.25025|75.0305,-154.317125|76.392375,-156.655625|75.299,-159.986375|76.288,-159.68875|77.31925,-160.381625|76.466625,-158.54|75.26425,-161.538875|76.18425,-157.554|74.932,-155.82275|76.02675,-153.141875|79.014375,-153.93925|78.32775,-157.672875|78.83325,-155.332875|78.13,-156.98425|79.791125,-155.528375|79.655375,-151.092125|76.144125,-158.387375|78.676375,-155.678125|73.39825,-150.8595|75.184,-148.709625|73.270875,-152.676125|74.880625,-150.20225|73.875,-150.82225|74.279375,-149.582625|72.876,-149.13525|73.548125,-145.035375|72.273125,-133.620625|61.685,-149.037125|72.5235,-149.59125|72.195125,-150.66675|72.537125,-148.077|72.743625,-149.06|72.790875,-147.41775|72.296125,
-48.470125|0.87625,-49.006875|1.17725,-53.62625|1.398375,-48.88725|1.11875,-53.588125|1.23875,-57.321875|0.88825,-11.011|0.0,-46.966|1.105125,-167.655125|84.151,-163.1795|80.679,-142.50275|68.821375,-162.2545|81.466125,-164.701875|81.290625,-168.266125|83.54575,-164.821625|83.0425,-162.581375|81.42025,-170.56225|84.6995,-167.199375|83.767625,-169.544|83.190875,-169.836375|83.436625,-162.935375|84.2975,-164.934875|83.265125,-168.317125|84.465625,-165.04775|83.7975,-153.7145|75.61975,-156.439875|77.616375,-152.643|75.644875,-145.861125|74.55725,-157.737375|77.94425,-152.634875|75.95075,-151.782875|74.18,-154.147375|74.80225,-159.838875|76.4845,-158.6415|77.5075,-159.943625|76.94225,-162.066375|77.801875,-159.7495|77.288625,-163.01225|77.813625,-157.755875|75.83875,-161.226125|77.273625,-156.4945|79.875125,-155.827125|79.133,-153.827|77.677125,-155.122875|78.994625,-156.09175|76.557,-152.118125|77.537375,-153.098|76.873625,-156.960625|79.504125,-156.687|73.7155,-149.3515|74.02225,-148.912875|71.401625,-148.2835|71.99725,-149.82575|72.12575,-149.87275|71.69625,-150.371125|74.15725,-153.21675|75.021875,-150.053625|69.95625,-152.170125|72.862875,-158.438125|71.975875,-157.6035|72.06825,-156.683375|69.672,-158.92425|71.26675,-157.19|71.572,-156.930625|70.713875,
-45.471375|2.559125,-43.447125|1.974875,-46.754625|2.24625,-45.766375|2.035,-51.1015|2.0125,-54.966|1.817375,-51.25225|1.986125,-11.011|0.0,-168.754875|79.961125,-168.004875|81.51,-159.061375|79.6325,-167.397|77.7525,-167.769875|78.760875,-169.0465|79.974625,-166.7385|78.248875,-164.661875|77.8995,-169.400125|81.393625,-169.1405|83.237,-167.8685|83.206,-168.4585|80.946,-161.649625|82.634,-165.351625|80.982875,-166.2935|81.593375,-170.16825|83.29025,-157.134875|75.419125,-152.529|73.73125,-155.2705|75.965125,-150.278625|75.0565,-158.940875|77.695,-156.232875|76.492625,-155.76725|74.931,-152.855625|75.3825,-158.363125|75.5775,-162.155375|75.969625,-160.91425|75.251375,-161.523125|75.213375,-159.524625|73.862125,-163.3885|77.008375,-160.163875|77.370125,-158.731375|75.580375,-152.566625|78.92475,-155.799125|77.696625,-158.43925|77.1755,-157.336625|78.636,-160.73825|77.864125,-157.229375|78.744625,-153.85575|76.080875,-156.036875|76.513875,-157.73775|73.302125,-154.934|72.8155,-151.4365|72.216125,-152.8495|73.13,-152.4445|72.515375,-153.479375|73.18,-154.51875|72.962,-150.3605|70.6575,-153.29025|70.5695,-150.84825|70.7785,-159.35825|70.7355,-157.526625|70.653375,-157.796125|70.781875,-159.332625|71.446125,-157.19775|70.66275,-159.617625|70.987125,
-166.16975|77.259375,-164.882|76.07125,-166.622125|78.05675,-165.543|76.152375,-167.973|77.5995,-163.99675|74.280375,-158.257375|74.898625,-165.456375|77.448125,-11.011|0.0,-47.409625|1.655125,-58.758625|1.626375,-45.69325|1.739,-62.029625|1.972625,-63.019125|1.80875,-46.8525|1.807125,-66.02575|2.193375,-170.6705|81.856875,-172.12675|83.276875,-171.82825|83.60525,-171.062|83.79375,-164.507875|82.801625,-171.29675|80.88525,-172.50675|83.327125,-168.6645|83.057625,-157.555375|74.81025,-161.402|74.31825,-160.520625|75.406625,-157.9725|75.438375,-161.194625|76.98425,-158.5215|75.292,-162.07475|76.7305,-158.508625|76.33225,-160.68525|74.796,-165.5625|76.435375,-160.651125|73.544,-160.8875|74.077625,-165.064375|77.74925,-162.491|75.44175,-163.98875|75.47675,-163.109625|75.2225,-164.29675|78.319375,-165.839|76.165625,-165.8185|78.995875,-165.485875|78.14625,-162.606375|76.990625,-167.91425|78.25725,-165.72325|77.507375,-164.326375|77.236125,-158.25675|72.0975,-157.023625|72.772375,-159.48|71.405875,-159.26875|72.158625,-160.647|73.178375,-160.535|73.08175,-160.211625|71.501125,-161.510125|72.437875,-161.4205|68.866875,-158.9915|69.73225,-158.6185|70.277625,-161.15|71.8955,-161.736|71.2145,-165.63325|70.53975,-164.935375|70.018125,-164.388625|70.579875,
-164.752625|76.689625,-166.745875|77.804125,-166.82625|75.7975,-165.09225|75.286125,-164.806125|74.789,-166.80125|77.680875,-158.915375|74.73525,-160.970875|75.3015,-47.026375|2.192875,-11.011|0.0,-94.438875|1.704875,-97.531875|1.706625,-101.44675|1.66125,-96.752125|1.891375,-88.565875|1.217875,-94.08225|1.852,-173.940625|83.628625,-171.09725|83.895,-172.12625|81.239875,-174.72275|83.376875,-163.92775|82.20675,-167.337875|81.620125,-168.604375|81.621,-170.767|82.85125,-155.384|74.808125,-161.100125|74.14575,-157.426375|74.143625,-160.00325|75.913875,-161.060125|75.158375,-159.649875|75.8105,-160.49075|74.367125,-159.907875|75.55025,-158.766375|75.62325,-163.28775|76.8905,-160.92825|75.329625,-162.287875|74.762125,-160.02175|76.362625,-162.351375|75.398125,-164.887875|76.8275,-165.12375|78.3255,-164.80425|76.150125,-162.592125|75.9235,-161.348875|76.795125,-168.920625|76.83675,-166.56125|76.2785,-169.532|76.8185,-166.577375|76.22675,-167.593375|76.85975,-157.37075|71.972125,-153.190375|73.121125,-161.963875|71.8295,-161.6535|71.701875,-162.98575|73.043875,-163.006125|72.5785,-160.33425|71.370125,-162.2145|73.3,-163.606125|69.29675,-161.751|70.908875,-161.519375|71.098875,-160.54975|69.098,-162.67975|70.314625,-161.991|69.821,-163.20125|73.131375,-163.64|70.123625,
